x,y,z
160.0206035417509,359.83452844688907,a
216.2797012992703,321.5593359331552,a
249.6291757886674,286.81007903120917,a
246.94825387920693,215.95392984575824,a
238.97696623715882,179.4814409173046,a
290.50041342847464,230.32168333206943,a
261.7876066179589,261.8147735972596,a
233.0990657022435,324.3857924616063,a
225.9923330802681,361.2035082992237,a
211.35241068049768,375.9172290357897,a
173.2774048952729,388.52397045317224,a
173.76112531982196,425.2829291962037,a
197.08424643392362,360.1241573488576,a
187.58013003428348,429.67927416810403,a
249.82103049576745,397.40882858825466,a
234.66249916145674,355.97892853818206,a
264.15619611740226,347.20532428454715,a
243.2427919915186,310.5734748253785,a
227.77121568109482,358.88395367903763,a
168.8877281335719,323.82875211582325,a
184.3607262299162,360.9789293448379,a
211.25858024860096,280.9550325924585,a
174.6126897329324,384.66412150808515,a
182.29745271122718,399.10129851429895,a
240.69529569263608,381.79339328900824,a
228.58389573477987,349.06004377954923,a
225.82951203893631,323.58796529876156,a
243.90306186046564,272.1295042929908,a
170.17467191189874,295.90425473408686,a
123.5266751312743,207.55701587625055,a
139.1594289355467,305.35758222826684,a
112.6842504312393,344.72807454037127,a
112.43417995396581,343.7107823361176,a
140.30737963992556,372.3139644557574,a
265.4052446430569,398.35999104745173,a
242.12263935287325,380.6414373812897,a
286.2708032981415,311.4914334605047,a
253.58954926441555,313.80453870285965,a
265.8818030647393,306.789010504646,a
171.6499450622232,243.84161277660036,a
248.76136925764908,293.90327192396853,a
239.85019637867825,297.7215875796676,a
545.5056936658885,399.5789239090874,b
582.0319244098796,349.14216139596385,b
547.2832875858502,321.7031405792573,b
481.837113460808,321.281533452851,b
473.4655315980669,343.73256380202577,b
449.25164412164247,344.1751248027459,b
389.1028020133647,325.44276935876746,b
397.87482704531345,425.5066859658617,b
430.04214860684505,381.8924531166536,b
420.11233226353875,423.7353150727218,b
448.14420998226916,435.4452166473444,b
437.67018582180685,461.7961325505115,b
434.40504239845205,358.15260051606015,b
434.79525629350263,257.3009560842468,b
395.1788054859525,289.4246601166667,b
448.7147748870686,244.06173988540604,b
459.21581788719357,262.98462410550457,b
479.2201686773317,225.6998557578513,b
488.71457774758983,266.97650464189735,b
455.45466553369755,204.19956628211474,b
446.5123087691524,217.51650524078883,b
478.0529842177094,249.34609397911115,b
506.7227017902312,270.9266167853169,b
507.3053994685022,286.19982282109936,b
485.9201193346657,293.2500640178358,b
506.3688613054752,321.1911146761911,b
508.3296651963736,361.98941344744856,b
500.805246073804,388.74616345188684,b
507.76909897075905,379.81428687292816,b
447.5125429133155,351.7421169395704,b
414.86387143145885,284.9056201702266,b
368.48051893637745,287.8913761008697,b
398.97625758794004,337.5700668504375,b
388.7100261035334,293.5766280350481,b
435.448045638161,326.0002712215444,b
453.53629987879737,360.0884761946399,b
565.8902249193258,381.0115236752477,b
510.5870606297471,310.4142463437475,b
540.942023391848,293.7465049435576,b
467.60315186412265,238.18701417693637,b
369.8514382055525,184.7802019475513,b
386.6964805474039,174.20286172797574,b
